"","Country","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Mozambique","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8333333,4.2804878,4.9240506,6.232,7.0731707,5.7657658,5.6557377,6.1832061,5.3090333,5.9434914,5.8612975,2.6120321,2.9684454,2.8708839,3.3035017,1.4604823,1.1116817,1.1027414,1.1392117,1.2458694,1.2844579,1.2421712,1.2736356,1.2809422,1.3624211,0.9462319,0.8094673,0.6689539,0.6649217,0.7054226,0.8919023,0.8265532,0.850726,0.9301822,0.9807595,0.8402853,0.9295846,0.9879644,1.3353365,1.4199869,2.0206047,1.51119
"Namibia","Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.615255,4.2504188,2.4645238,1.7512339,1.9478986,1.903604,2.3013551,2.3218372,3.1240331,2.7067328,3.0087409,2.6178454,2.6249129,2.5275897,2.6452053,2.5012494,2.6104246,3.1372616,3.3743637,3.514744,3.574589,3.1665132,3.0662332,4.2034296,4.4053911,3.77255,3.3461699,3.1406596,3.0929326,3.2271297,3.0017199
"Niger","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8708426,0.8217739,0.9366343,0.9281737,0.8391245,0.6713913,0.6317539,0.6334842,0.6851987,0.7277569,0.7438356,0.7695035,0.6352104,NA,NA,NA,NA,NA,NA,1.232372,0.9709763,0.8614015,0.9325946,1.0612245,1.1669081,1.1646108,1.3201598,0.963348,0.9317636,1.0911873,0.9735767,NA,NA,0.9925378,0.9820098,1.1696912,1.3098037,2.144357,1.3832153,1.7690857,NA,2.1853062,2.4869458,2.4719406,2.6510439,2.4342383,1.8416716
"Nigeria","Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6958333,0.8494533,1.0969793,1.1031908,1.2337043,1.401452,1.101151,5.8082006,9.1591383,10.3169579,5.2792501,4.3921198,5.3902689,5.4784681,4.3440114,8.1240684,5.7913978,6.0241179,5.3260478,4.3223341,3.2956037,2.7700721,2.2672017,2.2198413,1.5567948,1.4367863,1.3115536,0.7697937,0.8843513,0.5798946,0.8331153,0.7736913,0.5640107,0.9332183,0.7814523,0.4835588,0.4061778,0.4358358,0.5483124,0.8554156,0.5435316,0.7803159,0.954338,0.5707075,0.4909968,0.3974229,0.3483754,0.3703548,0.4890841,0.5058556,0.5392311,0.579227,0.5025411,0.4696953,0.4147188,0.4176365,0.4329478,0.4306712,0.5069445,0.4591705,0.6279078,0.9702492
"Rwanda","Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8848921,1.4715447,1.6287879,1.6138934,2.1522346,1.5881628,1.7474333,1.8768519,2.0391517,2.0030558,1.8951443,1.6040226,1.5883708,1.7955347,1.6752336,1.5942607,1.7537588,3.729166,5.5091722,4.2906021,4.5363754,3.437877,0.6078029,5.3285561,4.1735256,4.3776473,4.4481054,3.535503,3.3962264,3.0489335,2.4471299,1.973466,1.7430556,1.7308798,1.4531549,1.3920241,1.3993894,1.2905158,1.1612394,1.090721,1.0820653,1.1344127,1.2525835,1.2826563,1.2646749,1.2517404,1.2396452,1.4474803,1.5453244
"Senegal","Senegal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4311347,2.7552703,2.7344148,2.3495108,2.5458846,2.4079526,2.1928625,2.0400414,1.9811881,2.1117845,2.0276962,1.633469,1.5470556,1.4439999,1.668304,1.3476197,1.3100991,1.2439179,1.1969122,1.1791419,1.2021268,1.0483603,1.1156675,1.1012404,1.1154428,1.0578249,1.1286015,1.2538574,1.3496322,1.2794858,1.3221399,1.2071049,1.2875056,1.1032642,1.2486057,1.213366,1.2090992,1.6020975,1.471063,1.6582401,1.5134793,1.4200943,1.7579138
"Seychelles","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2908125,4.6744186,4.5418726,4.2803848,4.2768319,4.0262315,4.424019,4.7273873,2.7596134,2.4436855,2.2811803,2.0957485,2.02481,1.7329156,1.7829254,1.6793328,1.7782655,1.6773755,1.7343164,1.8976402,1.6023524,1.41343,1.4682836,1.1501932,1.0208783,0.7379154,0.8555041,0.9366796,1.0365589,2.3015112,1.3140797,1.535706,1.4845212,1.3800463,1.3353613,1.5846804,1.4686058
"Sierra Leone","Sierra Leone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7265543,0.7142137,0.7631318,0.780771,0.7226484,0.6926308,0.7969466,0.8048692,0.872658,0.9349845,0.8987378,0.9530635,1.0424612,1.213897,1.0302078,1.0920945,1.0884171,0.9998824,1.1076564,1.4452618,1.4161894,1.0906825,1.0287298,0.912255,0.7331042,1.4743915,0.6946422,0.8541029,1.5429002,1.3066467,2.0364571,2.6869107,2.0801211,1.9911689,1.9692916,1.3529504,0.7649166,1.0247022,1.74034,2.5121556,2.7425273,2.1646176,2.053953,1.5849466,1.4268139,1.4863958,1.3469934,0.9437063,1.0760332,0.9721505,0.8658135,0.7828005,0.6439659,0.9732621,0.9234533,1.1163824,1.0938169,0.7519926,0.6724773,0.5466054,0.6090659
"Somalia","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2308254,0.2544704,0.2901554,0.3304878,0.2969558,0.3536453,0.3879444,0.4072266,0.4195804,0.4960142,0.4830508,0.4536082,0.5054945,0.7271492,0.5162011,0.5175128,0.4607558,0.9949884,0.974661,0.5497352,0.6077098,0.2882666,0.2393245,0.1431276,0.0507097,28.9482415,16.9562113,17.4357168,1.5299921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","South Africa",NA,NA,1.6205383,1.7395423,1.3517711,1.2022892,1.2160519,1.2929434,1.3002023,0.9809396,0.8806707,0.9509771,1.4678491,2.2548373,2.0646085,2.6956088,2.6308289,2.704873,2.7880185,2.7611753,2.6084793,2.3337451,2.458193,2.3726689,2.6469098,3.0851993,3.8749547,4.7279906,5.2633346,4.5621989,3.8630737,3.3046337,3.6381292,3.6140933,3.6046482,3.695607,3.6983338,3.8205763,4.1921705,4.623759,4.3578847,3.8963515,3.2226339,2.8176506,2.4955237,2.5619659,2.117864,1.7558788,1.5821336,1.3831667,1.2720529,1.3872891,1.483161,1.5293096,1.4688112,1.3557286,1.3837697,1.290747,1.1775173,1.1458433,1.214002,1.1158083,1.1032577,1.1327931,1.1232743,1.1094379,1.0991821,1.0651996,1.0300606,0.9849614,0.9779702,1.1015318,0.8972529
"South Sudan","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.761289,4.9684626,4.1406325,6.0944153,8.7711241,6.5727575,8.6195599,10.5614615,4.6015315,2.3545378,3.6498926,3.5581849,2.6339922,2.368215
"Sudan","Sudan",NA,NA,NA,NA,NA,NA,NA,1.12,1.6366667,1.5197568,1.7100592,1.9174041,1.8449612,2.0595238,2.1491228,3.1422414,4.115304,3.5251509,3.6546185,3.75,5.1972556,4.9540079,4.6033654,4.1917503,3.1621188,2.5678359,2.2510823,2.6666667,2.6156034,2.0406909,2.5931521,2.3027047,1.7818068,2.4404762,3.268686,4.0845195,3.3996981,3.2272479,2.5527131,3.5519651,NA,NA,NA,NA,NA,NA,NA,NA,0.9543049,2.3796607,4.0097861,4.7914209,2.9440449,3.2738004,2.2561844,5.7826202,4.392312,4.6002713,5.2880464,4.9789323,5.4539303,NA,NA,NA,NA,NA,2.6559218,2.6502324,3.5071661,1.7834574,1.6446211,1.1317257,1.0164471
"Eswatini","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7823194,2.4330962,2.458417,2.4235389,2.166101,2.199561,2.2558661,2.0308018,1.8411215,1.6345123,1.4292921,1.2600903,1.2528723,1.2759746,1.3845166,1.6327115,1.7480468,1.8180898,1.6933393,1.6525777,1.4948392,1.647209,1.6845059,1.4352058,1.2900365,1.3037865,1.4709541,1.5413309,1.9028866,1.8099327,1.783533,2.023561,2.1201818,2.2986607,2.2120081,1.8548351,1.8713697,1.8396591,1.8050815,2.0984427,1.9582017,2.0357623,1.8861477,1.8350238,1.6980236
"Tanzania","Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4231241,1.4732029,1.7349776,2.2999782,3.0976157,3.4326889,4.1746165,5.3551332,5.3600547,4.6889717,5.4766523,10.1091113,8.5026045,4.5206325,5.5842939,5.497602,5.4143195,5.2475642,5.3870764,5.7446206,3.151879,2.4475442,2.3826355,2.0464841,2.181778,2.1060393,1.3792784,1.2941141,1.627214,1.5553503,1.5435445,1.6019715,1.4876627,1.487264,1.4516046,1.3025985,1.074307,0.9946146,0.8239413,0.792124,0.7620646,0.698279,0.7571931,0.8960241,0.9031507,0.9137994,0.9723626,1.015761,1.0913699,1.0936919,1.0557963,1.0552366,1.0177668,1.0262238,1.0674274
"Togo","Togo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2655629,0.546875,0.8399553,2.1571127,1.8953857,1.3374776,1.3397398,1.3588635,1.2822354,1.3683954,1.408313,1.4756439,1.6949153,1.4919546,1.8565861,2.4952311,3.0722749,2.7142857,2.2490602,2.1946309,2.3724806,2.2591769,2.0969799,2.1851498,2.5079834,2.8450589,3.5034909,3.1249087,3.0940686,3.1224859,2.8593509,2.9312289,4.0306557,2.5843109,1.8575256,NA,NA,NA,NA,NA,NA,NA,1.3656998,1.4060481,1.4574402,NA,NA,1.7221862,1.6380126,1.658858,1.5260637,1.6246431,1.6762054,1.8182889,1.6744229,1.8403824,1.8745423,1.9633324,3.1462171,2.838986,1.7837304
"Uganda","Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1132898,0.3693182,0.6511628,1.1329394,1.4372355,1.6234818,1.7940806,1.824581,1.973029,3.4686636,4.0621716,3.495779,3.6248416,2.822935,3.185284,2.036068,1.9666499,1.6872002,2.2172251,1.8880363,1.9759846,2.2185385,2.626699,2.6617291,2.9059179,2.5860003,2.459882,2.7299779,2.9685262,2.5079985,1.6591777,1.9313668,2.0157823,2.1015105,2.2109109,2.1167072,2.4423558,2.655734,1.7646077,1.6832451,1.6346747,1.6916878,1.7661558,1.6843227,1.503426,1.3944719,1.347345,1.1793852,2.2481639,2.2947099,1.2275032,0.9925552,0.9791315,1.0411625,1.0456562,1.0960789,1.2256315,1.7697981,2.5971447,2.423854
"Zambia","Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0014196,2.3614587,3.6641221,3.2206852,2.3883441,4.1952694,3.4108251,2.3374459,2.7050498,1.4293982,1.7192454,1.4516884,1.0518096,1.007661,NA,1.6483185,NA,NA,NA,NA,1.5808996,1.6744062,1.6136458,1.6524189,1.5524223,1.4415305,1.3825925,1.3176396,1.3578686,1.3597366,1.6338684,1.7532344,1.4293047,1.3095961,1.4094624,1.2193745,1.1542255,1.3047653
"Zimbabwe","Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1895684,1.3224624,1.3600573,2.0681265,2.4227689,2.4387008,2.2880617,2.1828435,2.6258536,2.9769976,3.3994464,4.6267136,6.5381267,7.9913135,8.5205215,6.6290856,4.8643183,5.1225453,5.5608506,5.6776499,5.4866692,5.5038199,5.8238889,5.2087066,4.9310307,4.7412964,4.5973836,4.3930143,3.8125687,3.598295,3.1817215,2.882652,2.9983393,NA,2.2381626,3.0538459,2.5498653,6.3067105,2.0347674,2.7057839,1.4526401,1.9861557,NA,NA,NA,0.8162515,1.4071621,1.8596085,1.8684197,1.8880796,1.8868757,1.7209909,0.3878314,0.3093228,0.5348041,0.00540038,0.0135301
"Belize","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1589699,1.4375872,1.534381,1.5439189,1.559826,NA,NA,NA,1.1993322,1.1763074,1.0940534,1.0215471,1.0954923,1.3604366,1.2988508,1.2421449,1.4356663,NA,NA,0.8552521,0.8550396,0.8396266,0.8635558,0.8967387,0.9613142,1.0089152,1.0661404,1.3676059,1.3108168,1.1136714,1.0553291,0.9993517,1.1256631,1.1977895,1.1438562,1.2231922,1.2553649,1.2473879,1.3291047,1.7157006,1.2535839
"Costa Rica","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba","Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3809601,3.3268561,3.084505,3.9376,3.5127288,3.5360048,3.0837914,3.0721879,2.8724032,2.8762074,NA,NA,NA
"Dominican Republic","Dominican Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3104466,NA,5.2315257,5.229794,4.3196544,3.8652131,3.7834951,4.2120704,3.4627199,3.1918688,3.2451714,2.6478245,2.4166947,2.1962196,1.9875214,1.7912739,1.9650655,1.8310133,1.9283816,1.885723,2.1755661,2.1822943,1.5835432,1.7201283,1.5820401,1.3665054,1.198896,1.2100524,1.3441541,1.0181399,0.8800475,0.800368,0.6757294,0.348155,0.5590868,0.75507,0.7337656,0.5494779,0.6336516,0.7969264,0.7800624,0.8162439,1.0300965,1.2134961,1.0589192,0.764145,0.6876181,0.7665364,0.6834234,0.6276191,0.6998617,0.6674612,0.6675317,0.6029281,0.6531515,0.6118248,0.6514379,0.643675,0.6340306,0.6660634,0.6939911,0.6895831,0.75048,0.6505627
"El Salvador","El Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7386839,0.7090798,0.694254,0.6555712,0.7154615,0.6298341,0.7180204,0.8815728,0.8649706,0.8013975,0.8307379,0.8818472,0.9718422,1.118526,1.5776536,1.7363365,2.2795464,2.7763365,3.5514499,6.4432824,6.5897161,4.3299567,4.469164,4.2713239,4.8723458,3.413666,2.7325775,2.2535768,1.6787288,1.3522212,1.1750583,1.0744092,1.0077662,0.9229429,0.9205492,0.840331,1.09067,1.1302387,0.8413813,0.8102144,0.9042047,0.8881311,0.9734448,0.9618118,1.0788782,1.0895537,1.0880615,1.0488096,1.0799892,1.0352549,1.05682,1.023503,1.0444694,1.1280219,1.1738305,1.3876073,1.374902
"Guatemala","Guatemala",NA,NA,NA,NA,NA,NA,1.3107119,1.2686558,1.2992248,1.2379957,1.2661425,1.1579222,1.1222211,1.0453078,1.1730075,1.0038343,1.3955905,1.3734549,1.457146,1.2666874,1.0259998,1.6964286,1.1185006,1.1419871,0.9107539,0.8983078,1.2314866,1.2713903,1.3721376,1.1811218,1.3066783,1.3168515,1.8894491,2.0257187,2.0359341,2.1908493,2.0073704,1.667498,1.75071,1.869077,1.8028516,1.7280116,1.2684373,1.4726204,1.2670602,1.1785346,1.0804274,0.8957174,0.7428179,0.7208399,0.6756008,0.9184016,1.0520629,0.762245,0.8156553,0.4794161,0.3839137,0.4318295,0.3984566,0.4682311,0.3953261,0.4413826,0.4596194,0.4758707,0.5019542,0.4562143,0.4320112,0.4645366,0.4025609,0.3906129,0.4658317,0.4832208,0.4445675
"Haiti","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0886074,0.0891194,0.1021732,0.1115504,0.1137833,0.106326,0.0777848,0.1062101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0615198,0.0619837,0.0887538,0.0846301,0.088103,0.1500802,0.1394213,0.2894075,0.1885407
"Honduras","Honduras",NA,NA,0.9609375,0.9143287,0.9625693,0.9956055,1.1010929,1.1221739,1.6455537,1.7165354,1.5136778,1.1684054,1.0758427,0.9883871,0.9317073,1.2800875,1.2291052,1.1818182,1.1371237,1.0854503,1.0682493,1.3692946,1.4700193,1.8360071,1.6833773,1.5988647,1.9039146,1.7581602,1.9047619,2.2696156,2.239548,2.2213562,2.1457705,2.3075598,2.2749431,2.4404941,2.5827724,2.7701195,2.9500301,2.8537455,2.6707954,2.2014836,1.5446855,NA,1.1578298,NA,NA,NA,NA,NA,NA,0.7299291,0.8226105,0.8091875,0.9982649,0.6826928,0.6414785,0.69243,0.7760083,0.9539786,1.0749107,1.0744572,1.1313091,1.1460186,1.6013182,1.5486451,1.6712757,1.6647013,1.7244052,1.6076945,1.623598,1.4443829,1.6058807
"Jamaica","Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9253078,0.9410013,NA,NA,NA,1.5079425,1.6277207,1.3859892,1.0597318,0.8910598,0.8539333,0.7704464,0.8079907,0.929263,0.8407851,0.7585246,1.1078382,0.8219064,0.6299206,0.5387092,0.5676566,0.6550548,0.5449478,0.5110515,0.4863198,0.5043589,0.585431,0.5815963,0.53597,0.5276637,0.6089223,0.6524579,0.9533543,0.9472283,0.8741802,0.9251665,0.9295353,0.8990697,0.8728714,0.8724965,0.9548248,0.9722643,1.3490941,1.6920579,1.6813471,1.4127203
"Mexico","Mexico",0.877551,0.863747,0.7641509,0.7217538,0.811545,0.8753463,0.7868481,0.7385686,0.7341991,0.6874028,0.6448802,0.6735087,0.6517803,0.6896552,0.7186858,0.6775068,0.5912698,0.5763791,0.5452171,0.5485108,0.60016,0.4974117,0.4876556,0.5365681,0.5442177,0.5657441,0.5735842,0.5981036,0.5342562,0.5048344,0.5052975,0.4161074,0.513301,0.4954194,0.5228663,0.6598191,0.6763131,0.6346225,0.5803419,0.5361454,0.5172558,0.433081,0.4354023,0.4694547,0.4427855,0.5188303,0.4508915,0.4764848,0.4580959,0.4504505,0.4609888,0.4460478,0.442657,0.421606,0.4059165,0.3648987,0.3559589,0.3111719,0.4011639,0.3905132,0.5015563,0.4527345,0.4657778,0.4759873,0.5079195,0.51383,0.4666761,0.4950644,0.4365103,0.4774942,0.5232502,0.7492002,0.6801308
"Nicaragua","Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4596454,1.3770153,1.5842606,1.5057374,1.8672902,1.4205672,1.4534132,1.7460941,2.0673643,2.4654631,3.2219457,3.1047865,3.3461804,4.3355911,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0022158,2.6327532,2.1023256,1.1895004,1.1028203,0.9497049,0.8946698,0.7353622,0.7194928,0.7827514,0.6835245,0.8651656,0.8607374,0.7307933,0.7004041,0.5512546,0.5317262,0.5020584,0.502751,0.5054727,0.5264113,0.6659036,0.6786142,0.685092,0.7755374,0.6398767,0.6238991,0.6227432,0.6068757,0.665087,0.6035816
"Panama","Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8409804,2.1109857,2.0849105,1.2563591,1.2285473,1.0834743,1.1986452,1.1925566,1.1157569,1.0855923,1.1701706,0.951292,0.9741365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad and Tobago","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6703782,0.6753722,0.7543956,0.9613213,0.8419409,0.683449,0.4203735,0.4381993,0.5044742,0.4895258,0.5140591,0.5914013,0.5921716,0.5134445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4947736,0.4892194,NA,NA,NA,NA,NA,NA,0.1556348,0.2130743,0.2942941,0.5633269,0.604538,0.6212759,0.5686686,0.4933752,0.7096586,0.6352174,0.5664372,0.6620258,0.7860929,0.695345,0.8332062,0.9536501,0.8850395,0.6877877,0.7079477,0.7453533,0.8880161
"Canada","Canada",NA,2.427451,4.6622531,6.7987684,7.3735556,6.8627266,6.1777778,5.6858246,5.3493196,4.937796,4.3997677,4.1852565,4.1283122,3.9992164,3.6206501,3.4020628,2.9302607,2.6832824,2.7479268,2.5436419,2.2737847,2.1889797,2.1314856,2.0118184,1.8326018,1.7838131,1.8635419,1.765928,1.8057636,1.8488874,1.7112459,1.7644486,1.7099156,1.9543436,2.0811962,2.1171889,2.0973762,2.1091971,2.0625764,1.9867671,1.9346143,1.9587937,1.8954443,1.8616877,1.8217535,1.6966803,1.5540901,1.4037526,1.2462432,1.2562939,1.2417031,1.1180809,1.137369,1.1208523,1.1158788,1.107966,1.1106697,1.1258324,1.1889018,1.2486214,1.3775556,1.1943383,1.1932919,1.1184046,1.0023672,0.9899253,1.1527094,1.1641616,1.3516022,1.3246811,1.2860971,1.4159454,1.315153
"United States of America","United States of America",5.2720201,5.0819634,10.1670212,13.860081,13.5802725,11.7365955,10.1562449,9.9010116,9.9924395,10.071764,9.438773,8.9931246,9.1560315,9.3316729,8.8318912,8.0512811,7.5872472,8.4353003,9.4177959,9.2684543,8.6332638,8.0327436,6.9430696,6.5197569,5.8938706,5.9541112,5.6226791,5.1910714,5.1556174,4.9430872,4.9519915,5.1535375,5.6465413,6.8140571,6.3211443,6.2364165,6.4532192,6.6265227,6.420274,6.0712777,5.871206,5.6051753,4.8834294,4.9704668,4.6043503,4.2152647,3.8602458,3.5549822,3.4055622,3.2015585,3.0856768,3.1122421,3.1238098,3.4476181,3.827161,4.0163127,4.0900349,4.0416272,4.0796551,4.4638274,4.8855997,4.9226417,4.840174,4.4774012,4.0466789,3.6958947,3.4778452,3.4134642,3.3093875,3.3111586,3.4261949,3.7178851,3.4832158
"Argentina","Argentina",NA,2.9142857,NA,NA,NA,NA,NA,NA,NA,NA,0.813,1.55,2.14,2.66,1.68,1.15,1.07,1.168,1.4,1.6857143,1.9375,1.8777778,1.8076923,1.8238095,1.8485714,1.6591837,2.041958,3.7812912,4.0086001,4.7191441,4.6733563,3.0989583,3.4653465,2.7045579,2.7388128,2.1620391,2.2997172,2.3136787,2.2843869,2.1249392,1.8803656,1.4509092,1.5069266,1.4212222,1.4228029,1.4570385,1.4730731,1.2412273,1.1401391,1.136318,1.2203595,1.1488227,1.1842335,1.0918805,1.0608951,0.8832954,0.8471548,0.7882339,0.7925482,0.7627565,0.8865086,0.8148781,0.7642871,0.7848247,0.8377364,0.8781009,0.8501286,0.8131401,0.8561379,0.7454989,0.7061867,0.7268557,0.565318
